User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0x00ab0ed9958e33eb695839a98cc1cebd20909f7c,121,0.01,2.82,21 | 38 | 17,56 | 26 | 7,2023-05-12,2023-11-13,false
0x0232fd80455161babb6743f9ecdfafbf8f0d5eda,124,0.01,2.55,21 | 38 | 18,61 | 27 | 7,2023-05-12,2023-11-20,false
0x030663239c199cd20e16d00b217d98bf9d4d1304,120,0.01,2.36,21 | 37 | 18,62 | 28 | 7,2023-05-14,2023-11-20,false
0x0331f7a45a9319a09df5fc0f94fb37e5969daf0b,119,0.01,2.36,21 | 38 | 18,65 | 28 | 7,2023-05-15,2023-11-21,false
0x034557f62c9ab57b39632794fe2cec81d04624b9,120,0.01,2.45,22 | 37 | 19,64 | 28 | 7,2023-05-14,2023-11-21,false
0x03465bf18632de901f48f3d7f041c8e80b743eb4,119,0.01,2.36,21 | 37 | 18,62 | 29 | 7,2023-05-14,2023-11-20,false
0x036f3afdf5edf17286deb3bf9a861238a4b03a99,118,0.01,2.32,21 | 38 | 18,64 | 28 | 7,2023-05-15,2023-11-21,false
0x044789a61977cbbd05c42cac7726acd6b55ec0b5,123,0.01,2.45,21 | 38 | 18,60 | 27 | 7,2023-05-12,2023-11-20,false
0x060bbaa5b0600926c7f7f941684a4f8ca59f75bf,122,0.02,2.59,20 | 38 | 19,68 | 28 | 7,2023-05-10,2023-11-21,false
0x06a24e4736a11a5c51eb5f9888d9cf5115210d6c,123,0.01,2.39,21 | 38 | 18,60 | 27 | 7,2023-05-14,2023-11-20,false
0x07b873cc9880ac4a3e93312525d90ca4021b86be,123,0.01,2.40,21 | 38 | 18,61 | 27 | 7,2023-05-12,2023-11-20,false
0x08353865eaa1f4dda77e49b4b6fbd9618eef286d,119,0.01,2.39,22 | 37 | 19,65 | 28 | 7,2023-05-14,2023-11-21,false
0x0981fe740393e7c043d9e7f176e2e70323632d1a,118,0.00,2.35,21 | 38 | 18,64 | 29 | 7,2023-05-14,2023-11-20,false
0x09a2a9b14a9fc59e23ebed24775f03ba79f9ec27,121,0.01,2.39,21 | 38 | 18,62 | 28 | 7,2023-05-13,2023-11-21,false
0x09a93ac3b7c6703c5b48a665df442d5f538a099b,118,0.01,2.30,21 | 38 | 18,65 | 28 | 7,2023-05-15,2023-11-21,false
0x09e7152fc537a73a87ec33e364ed6f9fd5ca94fd,117,0.01,2.30,21 | 38 | 18,65 | 28 | 7,2023-05-15,2023-11-21,false
0x0db6fd2172f696ed2e0559cd9d5331ac0bc7c70a,123,0.01,2.45,21 | 38 | 18,62 | 27 | 7,2023-05-12,2023-11-20,false
0x0e46c96aa03fbe66e4704488a3d9004bfc4eba10,118,0.02,2.30,21 | 38 | 18,67 | 28 | 7,2023-05-15,2023-11-21,false
0x0e537c9bddb7503627f2d1370b3aecba10b22c84,118,0.02,2.28,21 | 38 | 18,63 | 28 | 7,2023-05-15,2023-11-21,false
0x0eae7a74cde2fcb177f8ba470a5bfde7d39db725,123,0.03,2.56,20 | 38 | 19,65 | 28 | 7,2023-05-10,2023-11-21,false
0x0efa39d226e970a8269f3f5133a114a3a84b13bc,121,0.01,2.60,20 | 38 | 19,65 | 28 | 7,2023-05-10,2023-11-21,false
0x0f17bff76a5470670df3c92b440ab925725d3084,121,0.01,2.37,22 | 37 | 19,65 | 28 | 7,2023-05-14,2023-11-21,false
0x0f3e050493000ba8d7250deb4775a01719837198,122,0.02,2.50,21 | 38 | 18,62 | 28 | 7,2023-05-13,2023-11-21,false
0x0feaccb68ab1b78bce7ea71a9c97d93ac8e97622,131,0.01,2.55,20 | 38 | 17,57 | 27 | 7,2023-05-11,2023-11-20,false
