User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0xc989c5ae0ce65396334ebfc6a6b1a305a6cde98e,127,0.03,219.12,13 | 28 | 14,37 | 18 | 6,2023-04-17,2023-09-01,false
0x9f7a7f4632ee584702004fe82e80bba2364781ae,141,0.07,51317.79,13 | 29 | 14,42 | 22 | 7,2022-12-21,2023-08-31,false
0x8daa5afca9199209d0404d7afb494430255d2db5,141,0.03,51170.15,13 | 28 | 14,41 | 22 | 7,2022-12-21,2023-08-31,false
0x5b9ef01d91f027d73b5818ac0b070ae1b16875ec,141,0.05,51179.81,13 | 29 | 14,42 | 21 | 7,2022-12-21,2023-08-31,false
0xc3eb445bfe24deb511576d3624008fe827e636a1,141,0.13,3338.88,12 | 29 | 14,44 | 21 | 7,2022-12-21,2023-08-31,false
0xec3f73ab0fb21254662bb6a4e94e8ff4c1b09bad,141,0.11,2697.40,13 | 28 | 14,43 | 21 | 7,2022-12-25,2023-08-31,false
0x2c544219fc7be27c8d6a0cfcc5d672751f829428,142,0.09,72378.24,13 | 29 | 14,43 | 23 | 7,2022-12-10,2023-08-31,false
0x255c1abb568ae7f2307d692dd8762eae7bedd7d8,142,0.06,51218.56,13 | 29 | 14,42 | 21 | 8,2022-12-21,2023-09-01,false
0x419db91346b838abf0377d722247f1d6a90422a4,142,0.06,2374.12,13 | 28 | 14,44 | 21 | 7,2022-12-24,2023-08-31,false
0x8687e0f95c662e4b7017929019b12d8d0783bc69,142,0.11,2287.62,13 | 29 | 14,42 | 21 | 8,2022-12-21,2023-09-01,false
0x53dee0f2124ae60bde532ce9eaf4ef399ed0fcfe,142,0.06,3560.67,13 | 29 | 14,42 | 21 | 8,2022-12-26,2023-09-01,false
0x61e7a8552badd7447d62fb703521d9b5801404bb,142,0.03,51902.25,13 | 28 | 14,37 | 18 | 6,2023-04-12,2023-09-01,false
0xa0080df32cafd93fd301d86990fdd598ca48e75a,142,0.03,54066.28,13 | 27 | 14,37 | 18 | 6,2023-04-12,2023-09-01,false
0xb57aa0867f60f0ddc8c1a425d7f892cc9f00a698,143,0.03,52402.65,13 | 29 | 14,42 | 22 | 8,2022-12-19,2023-09-01,false
0xb09636837bf22425d9e5356248825b1a5e306113,143,0.04,2219.22,13 | 28 | 14,39 | 20 | 6,2022-12-11,2023-08-31,false
0xa2b24a7cdb62bc8b3dc8fd2184043f49edad6847,143,0.11,52347.32,13 | 28 | 14,43 | 22 | 8,2022-12-19,2023-09-01,false
0x6c109d0653cd2c35e05dcc081e972625c0a51dc7,143,0.06,2761.51,13 | 28 | 14,42 | 21 | 7,2022-12-24,2023-08-31,false
0x9081b7c6273c684f668a30afe0aba3a4ff0f926e,143,0.04,2267.03,13 | 29 | 14,39 | 20 | 6,2022-12-13,2023-08-31,false
0x7cb3613657a039d70814ebd5a9420f262fe138b7,143,0.03,48830.01,13 | 28 | 14,38 | 18 | 6,2023-04-11,2023-09-01,false
0x433a7608fc8700d4e308243dd1e72c127bcccbb7,143,0.03,51260.26,13 | 28 | 14,37 | 18 | 6,2023-04-14,2023-09-01,false
0x87fb4e07129dff5f60ce31ec181603e37a57403f,143,0.03,3.73,13 | 29 | 14,37 | 19 | 6,2023-04-16,2023-09-01,false
0x896ba3cf7e60d96ab5de6c734d2ecb1dac2f9511,143,0.03,3.12,13 | 28 | 14,39 | 19 | 6,2023-04-16,2023-09-01,false
0xf20158498cc9761070d767467d2dc11f7fcef732,143,0.03,3.66,13 | 28 | 14,36 | 19 | 6,2023-04-16,2023-09-01,false
0x9532ae982ea56531d4867de6c9b30569ae08c80f,143,0.03,165.81,13 | 28 | 14,36 | 18 | 6,2023-04-17,2023-09-01,false
0x71a0264724bd839e67313ce0b339e4347b9b6286,143,0.03,53370.42,13 | 28 | 14,38 | 18 | 6,2023-04-12,2023-09-01,false
0x45f0e3fab58c5f1cd55552cff14a53adb2bedc29,143,0.03,122.84,13 | 28 | 14,37 | 18 | 6,2023-04-13,2023-09-01,false
0x29d80ccc2f8fc341531f0203705b7841c3d09a41,143,0.03,114.80,13 | 28 | 14,38 | 19 | 6,2023-04-12,2023-09-01,false
0x609a74d2668c0a44f0e121291d8d6a5cd4193612,143,0.03,114.86,13 | 28 | 14,38 | 18 | 6,2023-04-14,2023-09-01,false
0x3d8835ba9afa8bac2e22b78b0fcb5ee496904481,144,0.03,117.34,13 | 28 | 14,37 | 18 | 6,2023-04-15,2023-09-01,false
0x12698e68e9b7e513aad097567dcb3c00cac33d7c,144,0.16,3342.60,13 | 29 | 14,43 | 22 | 7,2022-12-10,2023-08-31,false
0x709c58aad8eedd9e0bb62accb435ec31dc498110,144,0.09,2382.11,13 | 29 | 14,40 | 21 | 7,2022-12-13,2023-08-31,false
0xb67bb84b4007a7ce687cec91dd204b2bb7e11db9,144,0.12,53172.43,13 | 28 | 14,42 | 22 | 7,2022-12-19,2023-08-31,false
0x9ac030db3f784f1973b8ef0604b804e89d9b7017,144,0.06,51155.37,13 | 29 | 14,41 | 21 | 7,2022-12-21,2023-08-31,false
0x91e331f8ba93d078a7a97d478cb94743e3868c87,144,0.14,5221.58,13 | 28 | 14,44 | 21 | 7,2022-12-21,2023-08-31,false
0x2cdcc99ab432e2721d0d951e6e49231f21b21c1d,144,0.02,2209.69,13 | 27 | 14,40 | 20 | 6,2022-12-11,2023-08-31,false
0x94384b4827a347116d490535953ecba5e0688105,144,0.13,21452.71,12 | 29 | 14,43 | 22 | 7,2022-12-26,2023-08-31,false
0x062c1de745d7b178e753594611b0e49c0078c596,144,0.07,3611.34,14 | 29 | 14,44 | 21 | 8,2022-12-26,2023-09-01,false
0xa9ff2881c15171eb35e6cc72d10612087f757bfb,144,0.03,53709.08,13 | 28 | 14,37 | 18 | 6,2023-04-12,2023-09-01,false
0x63e48cc9addf1894738d28a4f2128a9459c3b49e,144,0.03,51529.65,13 | 28 | 14,38 | 18 | 6,2023-04-13,2023-09-01,false
0x7a0961ff71e1c20bd527dfc17ca6add9c94ac266,144,0.03,3.71,13 | 29 | 14,37 | 19 | 6,2023-04-16,2023-09-01,false
0xab67bb61cb3f94df97fd5937ba777f25c9a2a570,144,0.03,3.61,13 | 28 | 14,37 | 19 | 6,2023-04-16,2023-09-01,false
0x32c137148c8aa721b9a12a8d68b33cd7301e07c4,144,0.03,203.75,13 | 28 | 14,36 | 18 | 6,2023-04-17,2023-09-01,false
0x2a53ff9c496458c70f0b2750ed7820260821198f,144,0.03,118.03,13 | 28 | 14,37 | 18 | 6,2023-04-14,2023-09-01,false
0x76e198617d0b09738f0a2061bb268893ea366673,144,0.03,121.82,13 | 28 | 14,37 | 19 | 6,2023-04-15,2023-09-01,false
0x379129dfe0e96aeee346a3d7698004fa83a2fae6,144,0.03,113.82,13 | 28 | 14,37 | 18 | 6,2023-04-17,2023-09-01,false
