User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0x02e07e3bddb1f6e7f24146f6a71db080b5accfaf,235,0.04,0.06,27 | 39 | 18,106 | 29 | 8,2023-09-25,2024-04-22,false
0x04d9ec6e2df6db53c4ff589d6aa4756b39400b0f,242,0.00,0.00,28 | 39 | 20,106 | 29 | 8,2023-09-24,2024-04-23,false
0x08e60e05f88b7f6b79e7d452cd8cdb14563c01c0,241,0.00,0.00,28 | 38 | 20,95 | 29 | 8,2023-09-23,2024-04-23,false
0x0d96a6a74c414d6b8de00501237f93c7140a4d25,242,0.00,0.00,28 | 38 | 20,106 | 29 | 8,2023-09-24,2024-04-24,false
0x0fb7c76ea4c013a20a37ed849bdbef63cdd95245,240,0.00,0.00,28 | 39 | 20,112 | 29 | 8,2023-09-23,2024-04-28,false
0x0fe122b470bf9bf39271b37d4e3e580b32bbdb34,249,0.00,0.00,28 | 39 | 21,110 | 29 | 8,2023-09-23,2024-04-28,false
0x16a90def515b53084023d26bbf87de6e555f74e9,246,0.00,0.00,28 | 39 | 20,106 | 29 | 8,2023-09-24,2024-04-23,false
0x190988b64d91fae5468d6c360f1512fb455fb041,246,0.00,0.00,28 | 38 | 20,108 | 29 | 8,2023-09-24,2024-04-24,false
0x238f94ba41f502e93255357a6fbd833cd204ce65,239,0.00,0.00,28 | 38 | 20,93 | 29 | 8,2023-09-23,2024-04-23,false
0x29a5bbe586e1e55724628256832a0c343dd927eb,239,0.00,0.00,28 | 39 | 20,111 | 29 | 8,2023-09-23,2024-04-28,false
0x3a051c14ccfe33a3aca07198858dff55ee3da420,243,0.00,0.00,28 | 37 | 20,105 | 29 | 8,2023-09-24,2024-04-24,false
0x3c6020b53f37b3eecdbaaf8e3b6055fa249df211,244,0.00,0.00,28 | 38 | 20,105 | 29 | 8,2023-09-24,2024-04-23,false
0x4c40642340f9f75c1b5bcd418390c30c4a5dd0cd,246,0.00,0.00,28 | 39 | 20,108 | 29 | 8,2023-09-24,2024-04-24,false
0x4dd162c0a93fa75f88662b2c52d13ef0d8448495,256,0.00,0.00,28 | 38 | 21,110 | 29 | 8,2023-09-23,2024-04-28,false
0x4e16eca397c32e3d2870a3ac3f3e5612bdd6e7be,240,0.00,0.00,28 | 39 | 20,113 | 29 | 8,2023-09-23,2024-04-28,false
